function_name,function_name_to,file,file_to,Notes,line1,col1,line2,col2,exported
batter_boxscore,,R/batter_boxscore.R,,,14,1,57,1,TRUE
batter_game_logs_fg,fg_batter_game_logs,R/batter_game_logs_fg.R,,,13,1,37,1,TRUE
code_barrel,,R/code_barrel.R,,,7,1,10,1,TRUE
daily_batter_bref,,R/daily_batter_bref.R,,,13,1,52,1,TRUE
daily_pitcher_bref,,R/daily_pitcher_bref.R,,,11,1,73,1,TRUE
edge_code,,R/edge_code.R,,,8,1,63,1,TRUE
edge_frequency,,R/edge_frequency.R,,,8,1,46,1,TRUE
edge_scrape,,R/edge_scrape.R,,,9,1,65,3,TRUE
edge_scrape_split,,R/edge_scrape_split.R,,,10,1,63,1,TRUE
fg_bat_leaders,,R/fangraphs.R,,,15,1,114,1,TRUE
fg_batter_game_logs,,R/fg_batter_game_logs.R,,,13,1,35,1,TRUE
fg_guts,,R/fangraphs.R,,,248,1,257,1,TRUE
fg_park,,R/fangraphs.R,,,268,1,278,1,TRUE
fg_park_hand,,R/fangraphs.R,,,290,1,300,1,TRUE
fg_pitch_leaders,,R/fangraphs.R,,,130,1,235,1,TRUE
fg_pitcher_game_logs,,R/fg_pitcher_game_logs.R,,,12,1,33,1,TRUE
fip_plus,,R/fip_plus.R,,,8,1,36,1,TRUE
get_batting_orders,,R/get_batting_orders_mlb.R,,,16,1,96,1,TRUE
get_chadwick_lu,,R/get_chadwick_lu.R,,,8,1,15,1,TRUE
get_draft_mlb,,R/get_draft_mlb.R,,,9,1,28,1,TRUE
get_game_info_mlb,,R/get_game_info_mlb.R,,,14,1,60,1,TRUE
get_game_info_sup_petti,,R/get_game_info_sup_petti.R,,,11,1,18,1,TRUE
get_game_pks_mlb,,R/get_game_pks_mlb.R,,,28,1,41,1,TRUE
get_ncaa_baseball_pbp,,R/get_ncaa_baseball_pbp.R,,,20,1,110,1,TRUE
get_ncaa_baseball_roster,,R/get_ncaa_baseball_roster.R,,,18,1,77,1,TRUE
get_ncaa_game_logs,,R/get_ncaa_game_logs.R,,,24,1,194,1,TRUE
get_ncaa_lineups,,R/get_ncaa_lineups.R,,,14,1,74,1,TRUE
get_ncaa_park_factor,,R/get_ncaa_park_factor.R,,,25,1,335,1,TRUE
get_ncaa_schedule_info,,R/get_ncaa_schedule_info.R,,,20,1,85,1,TRUE
get_pbp_mlb,,R/get_pbp_mlb.R,,,22,1,146,1,TRUE
get_probables_mlb,,R/get_probables_mlb.R,,,16,1,87,1,TRUE
get_retrosheet_data,,R/get_retrosheet_data.R,,,27,1,227,1,TRUE
get_umpire_ids_petti,,R/get_umpire_ids_petti.R,,,11,1,18,1,TRUE
ggspraychart,,R/ggspraychart.R,,,22,1,103,1,TRUE
label_statcast_imputed_data,,R/label_statcast_imputed_data.R,,,24,1,41,1,TRUE
linear_weights_savant,,R/linear_weights_savant.R,,,16,1,80,1,TRUE
milb_batter_game_logs_fg,,R/milb_batter_game_logs_fg.R,,,13,1,56,1,TRUE
milb_pitcher_game_logs_fg,,R/milb_pitcher_game_logs_fg.R,,,14,1,57,1,TRUE
mlb_schedule,,R/mlb_schedule.R,,,28,1,42,1,TRUE
ncaa_scrape,,R/ncaa_scrape.R,,,17,1,152,1,TRUE
pitcher_boxscore,,R/pitcher_boxscore.R,,,15,1,46,1,TRUE
pitcher_game_logs_fg,,R/pitcher_game_logs_fg.R,,,12,1,33,1,TRUE
playerid_lookup,,R/playerid_lookup.R,,,13,1,45,1,TRUE
playername_lookup,,R/playername_lookup.R,,,10,1,27,1,TRUE
process_statcast_payload,,R/process_statcast_payload.R,,,15,1,91,1,TRUE
run_expectancy_code,,R/run_expectancy_code.R,,,14,1,118,1,TRUE
run_expectancy_table,,R/run_expectancy_table.R,,,13,1,30,1,TRUE
school_id_lu,,R/school_id_lu.R,,,10,1,14,1,TRUE
scrape_savant_leaderboards,,R/scrape_statcast_leaderboards.R,,,69,1,387,1,TRUE
scrape_statcast_savant,,R/scrape_statcast.R,,,27,1,29,99,TRUE
scrape_statcast_savant_batter,,R/scrape_statcast.R,,,226,1,229,1,TRUE
scrape_statcast_savant_batter_all,,R/scrape_statcast.R,,,239,1,241,1,TRUE
scrape_statcast_savant_pitcher,,R/scrape_statcast.R,,,252,1,255,1,TRUE
scrape_statcast_savant_pitcher_all,,R/scrape_statcast.R,,,265,1,267,1,TRUE
standings_on_date_bref,,R/standings_on_date_bref.R,,,18,1,58,1,TRUE
statline_from_statcast,,R/statline_from_statcast.R,,,15,1,269,1,TRUE
team_consistency,,R/team_consistency.R,,,13,1,85,1,TRUE
team_results_bref,,R/team_results_bref.R,,,15,1,52,1,TRUE
woba_plus,,R/woba_plus.R,,,12,1,51,1,TRUE
