school,conference,school_id,year,division,conference_id
A&M-Corpus Christi,Southland,26172,2013,1,914
A&M-Corpus Christi,Southland,26172,2014,1,914
A&M-Corpus Christi,Southland,26172,2015,1,914
A&M-Corpus Christi,Southland,26172,2016,1,914
A&M-Corpus Christi,Southland,26172,2017,1,914
A&M-Corpus Christi,Southland,26172,2018,1,914
A&M-Corpus Christi,Southland,26172,2019,1,914
A&M-Corpus Christi,Southland,26172,2020,1,914
A&M-Corpus Christi,Southland,26172,2021,1,914
A&M-Corpus Christi,Southland,26172,2022,1,914
Abilene Christian,Southland,2,2014,1,914
Abilene Christian,Southland,2,2015,1,914
Abilene Christian,Southland,2,2016,1,914
Abilene Christian,Southland,2,2017,1,914
Abilene Christian,Southland,2,2018,1,914
Abilene Christian,Southland,2,2019,1,914
Abilene Christian,Southland,2,2020,1,914
Abilene Christian,Southland,2,2021,1,914
Abilene Christian,Southland,2,2022,1,914
Air Force,Mountain West,721,2013,1,5486
Air Force,Mountain West,721,2014,1,5486
Air Force,Mountain West,721,2015,1,5486
Air Force,Mountain West,721,2016,1,5486
Air Force,Mountain West,721,2017,1,5486
Air Force,Mountain West,721,2018,1,5486
Air Force,Mountain West,721,2019,1,5486
Air Force,Mountain West,721,2020,1,5486
Air Force,Mountain West,721,2021,1,5486
Air Force,Mountain West,721,2022,1,5486
Akron,MAC,5,2013,1,875
Akron,MAC,5,2014,1,875
Akron,MAC,5,2015,1,875
Akron,MAC,5,2020,1,875
Akron,MAC,5,2021,1,875
Akron,MAC,5,2022,1,875
Alabama,SEC,8,2013,1,911
Alabama,SEC,8,2014,1,911
Alabama,SEC,8,2015,1,911
Alabama,SEC,8,2016,1,911
Alabama,SEC,8,2017,1,911
Alabama,SEC,8,2018,1,911
Alabama,SEC,8,2019,1,911
Alabama,SEC,8,2020,1,911
Alabama,SEC,8,2021,1,911
Alabama,SEC,8,2022,1,911
Alabama A&M,SWAC,6,2013,1,916
Alabama A&M,SWAC,6,2014,1,916
Alabama A&M,SWAC,6,2015,1,916
Alabama A&M,SWAC,6,2016,1,916
Alabama A&M,SWAC,6,2017,1,916
Alabama A&M,SWAC,6,2018,1,916
Alabama A&M,SWAC,6,2019,1,916
Alabama A&M,SWAC,6,2020,1,916
Alabama A&M,SWAC,6,2021,1,916
Alabama A&M,SWAC,6,2022,1,916
Alabama St.,SWAC,7,2013,1,916
Alabama St.,SWAC,7,2014,1,916
Alabama St.,SWAC,7,2015,1,916
Alabama St.,SWAC,7,2016,1,916
Alabama St.,SWAC,7,2017,1,916
Alabama St.,SWAC,7,2018,1,916
Alabama St.,SWAC,7,2019,1,916
Alabama St.,SWAC,7,2020,1,916
Alabama St.,SWAC,7,2021,1,916
Alabama St.,SWAC,7,2022,1,916
Albany (NY),America East,14,2013,1,845
Albany (NY),America East,14,2014,1,845
Albany (NY),America East,14,2015,1,845
Albany (NY),America East,14,2016,1,845
Albany (NY),America East,14,2017,1,845
Albany (NY),America East,14,2018,1,845
Albany (NY),America East,14,2019,1,845
Albany (NY),America East,14,2020,1,845
Albany (NY),America East,14,2021,1,845
Albany (NY),America East,14,2022,1,845
Alcorn,SWAC,17,2013,1,916
Alcorn,SWAC,17,2014,1,916
Alcorn,SWAC,17,2015,1,916
Alcorn,SWAC,17,2016,1,916
Alcorn,SWAC,17,2017,1,916
Alcorn,SWAC,17,2018,1,916
Alcorn,SWAC,17,2019,1,916
Alcorn,SWAC,17,2020,1,916
Alcorn,SWAC,17,2021,1,916
Alcorn,SWAC,17,2022,1,916
App State,Sun Belt,27,2021,1,818
App State,Sun Belt,27,2022,1,818
Appalachian St.,SoCon,27,2013,1,912
Appalachian St.,SoCon,27,2014,1,912
Appalachian St.,Sun Belt,27,2015,1,818
Appalachian St.,Sun Belt,27,2016,1,818
Appalachian St.,Sun Belt,27,2017,1,818
Appalachian St.,Sun Belt,27,2018,1,818
Appalachian St.,Sun Belt,27,2019,1,818
Appalachian St.,Sun Belt,27,2020,1,818
Arizona,Pac-12,29,2013,1,905
Arizona,Pac-12,29,2014,1,905
Arizona,Pac-12,29,2015,1,905
Arizona,Pac-12,29,2016,1,905
Arizona,Pac-12,29,2017,1,905
Arizona,Pac-12,29,2018,1,905
Arizona,Pac-12,29,2019,1,905
Arizona,Pac-12,29,2020,1,905
Arizona,Pac-12,29,2021,1,905
Arizona,Pac-12,29,2022,1,905
Arizona St.,Pac-12,28,2013,1,905
Arizona St.,Pac-12,28,2014,1,905
Arizona St.,Pac-12,28,2015,1,905
Arizona St.,Pac-12,28,2016,1,905
Arizona St.,Pac-12,28,2017,1,905
